z,a,e,Uninformed_pred,Uninformed_CI5,Uninformed_CI95,Informed_Pred,Informed_CI5,Informed_CI95,Infor+Cons_pred,Infor+Cons_CI5,Infor+Cons_CI95,JENDL,JENDL Error,GEF,GEF Error,EXP,EXP Error,ENDF,ENDF Error,JEFF,JEFF Error
53,135,14.3,0.0329,0.02593,0.03787,0.03134,0.02879,0.0338,0.0309,0.02873,0.03311,,,,,,,,,,
53,135,14.4,0.03292,0.02562,0.03791,0.03117,0.02863,0.03363,0.03074,0.02857,0.03296,,,,,,,,,,
53,135,14.5,0.03293,0.0252,0.03793,0.031,0.02846,0.03345,0.03058,0.02841,0.0328,,,,,,,,,,
53,135,14.6,0.03293,0.0247,0.03796,0.03084,0.02829,0.03329,0.03042,0.02825,0.03266,,,,,,,,,,
53,135,14.7,0.03292,0.02418,0.03801,0.03067,0.02811,0.03313,0.03026,0.02808,0.03251,,,,,,,,,,
53,135,1.48E+01,0.0329,0.02364,0.03807,0.0305,0.02791,0.03297,0.03011,0.02792,0.03236,,,,,,,,,,
53,135,14.9,0.03287,0.02308,0.03816,0.03033,0.02771,0.03282,0.02995,0.02776,0.03222,,,,,,,,,,
53,135,15,0.03283,0.0225,0.03823,0.03016,0.02751,0.03266,0.02979,0.02759,0.03207,,,,,,,,,,
53,134,0,0.010895806,0.006227115,0.015568602,0.009044643,0.005571649,0.012452941,0.008507655,0.005381745,0.011572037,,,,,,,,,,
53,134,0.1,0.011180488,0.006458746,0.01586097,0.009324214,0.005905245,0.012735697,0.009053416,0.00596577,0.01211298,,,,,,,,,,
53,134,0.2,0.01146387,0.006775351,0.016128991,0.009613167,0.006196292,0.012989175,0.009596584,0.006530346,0.012658492,,,,,,,,,,
53,134,0.3,0.011745391,0.007061908,0.016426474,0.009911156,0.006534417,0.013237079,0.010136678,0.007091928,0.01316249,,,,,,,,,,
53,134,0.4,0.01202456,0.007376545,0.016691368,0.010217812,0.006871305,0.013556796,0.010673236,0.007613282,0.013704811,,,,,,,,,,
53,134,0.5,0.012300968,0.007661394,0.016991044,0.010532744,0.007166816,0.013864553,0.011205821,0.008134304,0.014235112,,,,,,,,,,
53,134,0.6,0.012574274,0.00790545,0.017245776,0.010855543,0.007483776,0.014226379,0.01173402,0.008678672,0.014796732,,,,,,,,,,
53,134,0.7,0.012844184,0.008158975,0.017473896,0.011185787,0.007800899,0.01456162,0.012257441,0.009219537,0.01531363,,,,,,,,,,
53,134,0.8,0.013110458,0.008421069,0.017774488,0.011523033,0.008159977,0.014919607,0.012775718,0.009726226,0.015833045,,,,,,,,,,
53,134,0.9,0.013372905,0.008705473,0.018062613,0.011866831,0.008435426,0.015263777,0.01328851,0.010209102,0.016351024,,,,,,,,,,
53,134,1,0.01363136,0.008953833,0.018315224,0.012216717,0.008771275,0.015630624,0.013795495,0.010694485,0.016840944,,,,,,,,,,
