Charge Number,E,Uninformed,Informed,JENDL-5
49,10,0.03727,0.04015,
50,10,0.05751,0.06074,
51,10,0.08722,0.09039,
52,10,0.12273,0.12939,
53,10,0.12964,0.15656,
54,10,0.14427,0.14919,
55,10,0.13285,0.12463,
56,10,0.10895,0.10867,
57,10,0.06112,0.06663,
58,10,0.03589,0.03598,
59,10,0.02061,0.01705,
60,10,0.01159,0.00742,
61,10,0.0066,0.00327,
62,10,0.00403,0.00171,
63,10,0.00292,0.00125,
64,10,0.0026,0.00113,
65,10,0.00285,0.00118,
66,10,0.00327,0.00111,
67,10,0.00312,5.94E-04,
68,10,0.00188,1.09E-04,
69,10,5.42E-04,2.63E-05,
70,10,-4.46E-05,1.68E-05,
71,10,-2.55E-05,3.59E-06,
23,11,1.04E-05,6.00E-05,
24,11,8.62E-05,1.22E-04,
25,11,2.30E-04,1.11E-04,
26,11,1.92E-04,3.77E-04,
27,11,1.13E-04,9.21E-04,
28,11,1.78E-04,7.57E-04,
29,11,6.78E-04,-1.01E-04,
30,11,0.00214,-6.43E-04,
31,11,0.0054,0.00176,
32,11,0.01181,0.00909,
33,11,0.02322,0.02161,
34,11,0.04167,0.03891,
35,11,0.0679,0.06132,
36,11,0.09772,0.11205,
37,11,0.12967,0.12587,
38,11,0.14894,0.13117,
39,11,0.12212,0.13148,
40,11,0.13729,0.12706,
41,11,0.08456,0.07384,
42,11,0.0611,0.06323,
43,11,0.041,0.0296,
44,11,0.02899,0.02243,
45,11,0.02407,0.01889,
46,11,0.02316,0.01994,
47,11,0.02473,0.02416,
48,11,0.02934,0.03061,
49,11,0.03922,0.04173,
50,11,0.05904,0.06208,
51,11,0.08778,0.09085,
52,11,0.12108,0.12656,
53,11,0.12951,0.15044,
54,11,0.14253,0.14378,
55,11,0.13096,0.12334,
56,11,0.10594,0.10655,
57,11,0.06,0.06598,
58,11,0.03507,0.03581,
59,11,0.01985,0.01704,
60,11,0.01085,0.00744,
61,11,0.00586,0.00327,
62,11,0.00327,0.00166,
63,11,0.00215,0.00115,
64,11,0.0018,9.88E-04,
65,11,0.00202,9.98E-04,
66,11,0.00243,9.05E-04,
67,11,0.00241,4.46E-04,
68,11,0.00148,1.07E-04,
69,11,3.95E-04,2.64E-05,
70,11,-7.42E-05,1.63E-05,
71,11,-2.81E-05,3.44E-06,
23,12,9.54E-06,7.11E-05,
24,12,7.35E-05,1.32E-04,
25,12,1.54E-04,9.60E-05,
